SampleID, Sa g, Emb g,Net w g,,Sed mg,Sed cm3,,,,H2O cm3,Ice cm3,Ibg cm3,vsed/visb,mg/l isbj,,dens isbj,,t/km3
1.5.C,1245,46.31,1198.69,,4.8,0.001811320755,,,,1198.688189,1331.875765,1331.877577,0.000001359975411,3.60393484,,0.90000238,,3603.93484
1.6.A,1866,46.09,1819.91,,2.6,0.0009811320755,,,,1819.909019,2022.121132,2022.122113,0.0000004851992217,1.285777937,,0.9000008491,,1285.777937
1.6.B,1072,55.66,1016.34,,1.1,0.0004150943396,,,,1016.339585,1129.266205,1129.266621,0.0000003675786852,0.9740835158,,0.9000006433,,974.0835158
1.6.C,1895,46.6,1848.4,,6,0.002264150943,,,,1848.397736,2053.775262,2053.777526,0.000001102432427,2.921445932,,0.9000019293,,2921.445932
1.7.A,225,55.6,169.4,,0.6,0.0002264150943,,,,169.3997736,188.2219706,188.2221971,0.000001202913885,3.187721796,,0.9000021051,,3187.721796
1.7.B,1312,46.59,1265.41,,7.8,0.002943396226,,,,1265.407057,1406.007841,1406.010784,0.000002093437874,5.547610366,,0.9000036635,,5547.610366
1.7.C,1629,64.96,1564.04,,0.8,0.0003018867925,,,,1564.039698,1737.821887,1737.822189,0.0000001737155817,0.4603462916,,0.900000304,,460.3462916
1.8.A,1307,55.88,1251.12,,659,0.2486792453,,,,1250.871321,1389.857023,1390.105702,0.000178892328,474.0646693,,0.9003130616,,474064.6693
1.8.B,2268,56.86,2211.14,,7.5,0.002830188679,,,,2211.13717,2456.819078,2456.821908,0.000001151971443,3.052724325,,0.900002016,,3052.724325
1.8.C,1240,56.06,1183.94,,556.7,0.2100754717,,,,1183.729925,1315.255472,1315.465547,0.0001596966733,423.1961842,,0.9002794692,,423196.1842
1.9.A,1227,46.08,1180.92,,1.6,0.0006037735849,,,,1180.919396,1312.132662,1312.133266,0.0000004601465418,1.219388336,,0.9000008053,,1219.388336
1.9.B,1300,55.87,1244.13,,6.1,0.002301886792,,,,1244.127698,1382.364109,1382.366411,0.000001665178475,4.41272296,,0.9000029141,,4412.72296
1.9.C,1555,48.38,1506.62,,1.4,0.0005283018868,,,,1506.619472,1674.021635,1674.022164,0.0000003155883466,0.8363091185,,0.9000005523,,836.3091185
Grus,,,0,,0,0,,,,0,0,0,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!
5.1.A,1205,46.51,1158.49,,12.7,0.00479245283,,,,1158.485208,1287.205786,1287.210579,0.000003723130395,9.866295547,,0.9000065155,,9866.295547
5.1.B,1880,47.25,1832.75,,21.8,0.008226415094,,,,1832.741774,2036.379748,2036.387975,0.00000403970913,10.70522919,,0.9000070695,,10705.22919
5.1.C,1293,46,1247,,8.4,0.003169811321,,,,1246.99683,1385.552034,1385.555203,0.000002287755344,6.062551661,,0.9000040036,,6062.551661
5.2.A,1355,46.55,1308.45,,870.9,0.3286415094,,,,1308.121358,1453.468176,1453.796818,0.0002260573867,599.0520749,,0.9003956004,,599052.0749
5.2.B,1243,46.12,1196.88,,574.8,0.2169056604,,,,1196.663094,1329.62566,1329.842566,0.0001631062698,432.231615,,0.900285436,,432231.615
5.2.C,1618,46.27,1571.73,,251.9,0.09505660377,,,,1571.634943,1746.261048,1746.356105,0.00005443139776,144.2432041,,0.9000952549,,144243.2041
5.3.A,1194,46.51,1147.49,,13.1,0.004943396226,,,,1147.485057,1274.983396,1274.98834,0.00000387720897,10.27460377,,0.9000067851,,10274.60377
5.3.B,1135,46.34,1088.66,,23.2,0.008754716981,,,,1088.651245,1209.612495,1209.621249,0.000007237568772,19.17955725,,0.9000126657,,19179.55725
5.3.C,1499,46.06,1452.94,,9.8,0.003698113208,,,,1452.936302,1614.373669,1614.377367,0.00000229073653,6.070451805,,0.9000040088,,6070.451805
Grus,,,0,,0,0,,,,0,0,0,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!
5.3.Ax,1296,63.68,1232.32,,0,0,,,,1232.32,1369.244444,1369.244444,0,0,,0.9,,0
5.3.Bx,1253,54.9,1198.1,,67.9,0.02562264151,,,,1198.074377,1331.193753,1331.219375,0.00001924749743,51.0058682,,0.9000336831,,51005.8682
5.3Cx,1162,54.93,1107.07,,22.7,0.008566037736,,,,1107.061434,1230.06826,1230.076826,0.00000696382336,18.4541319,,0.9000121867,,18454.1319
6.1.A,1248,46.83,1201.17,,17.6,0.006641509434,,,,1201.163358,1334.625954,1334.632595,0.000004976282954,13.18714983,,0.9000087085,,13187.14983
6.1.B,1646,46.91,1599.09,,12.5,0.004716981132,,,,1599.085283,1776.761426,1776.766143,0.000002654812594,7.035253374,,0.9000046459,,7035.253374
6.1.C,1501,46.28,1454.72,,7.6,0.002867924528,,,,1454.717132,1616.352369,1616.355237,0.000001774315734,4.701936695,,0.9000031051,,4701.936695
6.2.A,1463,46.81,1416.19,,34395.9,12.97958491,,,,1403.210415,1559.122683,1572.102268,0.008256196284,21878.92015,,0.9144483435,,21878920.15
6.2.B,1327,46.66,1280.34,,797,0.300754717,,,,1280.039245,1422.265828,1422.566583,0.0002114169703,560.2549713,,0.9003699797,,560254.9713
6.2.C,1266,46.56,1219.44,,1291,0.4871698113,,,,1218.95283,1354.392034,1354.879203,0.0003595669711,952.8524733,,0.9006292422,,952852.4733
6.3.A,1495,64.53,1430.47,,13.3,0.005018867925,,,,1430.464981,1589.405535,1589.410553,0.00000315769133,8.367882025,,0.900005526,,8367.882025
6.3.B,1816,66.12,1749.88,,12.2,0.004603773585,,,,1749.875396,1944.305996,1944.3106,0.000002367817974,6.274717631,,0.9000041437,,6274.717631
6.3.C,2108,78.04,2029.96,,10.7,0.004037735849,,,,2029.955962,2255.506625,2255.510662,0.000001790164824,4.743936785,,0.9000031328,,4743.936785
WCA,1392,46.8,1345.2,,1297.1,0.4894716981,,,,1344.710528,1494.122809,1494.612281,0.0003274907509,867.8504898,,0.9005731088,,867850.4898
WCB,1186,47.5,1138.5,,370.3,0.1397358491,,,,1138.360264,1264.844738,1264.984474,0.0001104644776,292.7308656,,0.9001933128,,292730.8656
WCC,1660,54.83,1605.17,,510.9,0.1927924528,,,,1604.977208,1783.308008,1783.500801,0.0001080977663,286.4590808,,0.9001891711,,286459.0808
Grus6,,,0,,0,0,,,,0,0,0,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!
7.1.A,1532,46.6,1485.4,,218.5,0.08245283019,,,,1485.317547,1650.35283,1650.435283,0.00004995823286,132.3893171,,0.9000874269,,132389.3171
7.1.B,1041,46.12,994.88,,15.9,0.006,,,,994.874,1105.415556,1105.421556,0.00000542779356,14.38365293,,0.9000094986,,14383.65293
7.1.C,1091,45.49,1045.51,,166.6,0.06286792453,,,,1045.447132,1161.607925,1161.670792,0.00005411853766,143.4141248,,0.9000947074,,143414.1248
7.2.A,1158,45.77,1112.23,,46.4,0.01750943396,,,,1112.212491,1235.791656,1235.809166,0.00001416839626,37.54625009,,0.9000247947,,37546.25009
7.2.B,922,46,876,,62.8,0.02369811321,,,,875.9763019,973.3070021,973.3307002,0.00002434744245,64.52072249,,0.900042608,,64520.72249
7.2.C,827,45.58,781.42,,55.1,0.02079245283,,,,781.3992075,868.2213417,868.2421342,0.00002394775836,63.46155966,,0.9000419086,,63461.55966
7.3.A,791,52.85,738.15,,65.5,0.02471698113,,,,738.125283,820.1392034,820.1639203,0.00003013663552,79.86208412,,0.9000527391,,79862.08412
7.3.B,1582,53.02,1528.98,,9.1,0.003433962264,,,,1528.976566,1698.862851,1698.866285,0.000002021325807,5.356513388,,0.9000035373,,5356.513388
