Avg W%,sd W%,Avg Vol%,sd Vol%,Avg mg/l,sd mg/l,Avg dens,sd dens,Avg T/km3,sd T/km3,Avg Gt CI,sd Gt CI,Isbj.nr.,B/A%,D/C%,F/E%,H/G%,J/I%,L/K%,,T/km3,,GT total,,,,,,,,Isbj.nr.,Avg Gt CI
0.471014941,0.323839278,0.160624687,0.110632627,4256.554215,2931.764615,0.902810932,0.001936071,4256554.215,2931764.615,2.451775228,1.688696419,16,68.75350436,68.87647787,68.87647771,0.2144492198,68.87647771,68.87647773,,4256554.215,,0.975060931,0.6500406207,37.5,24.37652328,1.297200466,0.6666666667,,1.297200466,16,2.451775228
0.564840668,0.651699188,0.193194628,0.223524413,5119.657654,5923.396952,0.901135148,0.003911677,5119657.654,5923396.952,2.948922809,3.411876644,17,115.3775259,115.699083,115.6990829,0.4340832791,115.6990829,115.6990829,,5119657.654,,0.619570107,0.4388621591,33.33333333,14.62873864,0.797315519,0.7083333333,,0.797315519,17,2.948922809
0.034431002,0.027793661,0.011697363,0.009442823,309.9801145,250.2348213,0.900141582,0.000165249,309980.1145,250234.8213,0.178548546,0.144135257,18,80.72277711,80.72608331,80.72608841,0.01835811202,80.72608841,80.72608835,,309980.1145,,0.260770068,0.195577551,29.16666667,5.704345238,0.4401700875,0.75,,0.4401700875,18,0.178548546
3.806115829,1.158324253,1.328129847,0.412697079,35195.44094,10936.47261,0.923242272,0.007222199,35195440.94,10936472.61,20.27257398,6.299408221,19,30.43323706,31.07354902,31.07354907,0.7822647661,31.07354907,31.07354906,,35195440.94,,0.178548546,0.1413509323,25,3.533773306,0.219659307,0.7916666667,,0.219659307,19,
0.889673484,1.026731441,0.305549231,0.354145899,8097.054629,9384.866312,0.905347112,0.006197553,8097054.629,9384866.312,4.663903466,5.405682996,20,115.4054223,115.9046933,115.904693,0.6845499276,115.904693,115.904693,,8097054.629,,0.02345604,0.0195467,20.83333333,0.4072229167,0.101002293,0.8333333333,,0.101002293,20,4.663903466
5.277798852,8.084085152,1.969694937,3.050957701,52196.91583,80850.37909,0.934469661,0.05339176,52196915.83,80850379.09,30.06542352,46.56981836,21,153.1715281,154.8949354,154.8949355,5.713589454,154.8949355,154.8949355,,52196915.83,,0.006923783,0.006058310125,16.66666667,0.1009718354,0.0151899115,0.875,,0.0151899115,21,
2.36730396,2.649010263,0.827856245,0.936727005,21938.19048,24823.26563,0.914487484,0.016392723,21938190.48,24823265.63,12.63639772,14.298201,22,111.8998788,113.1509257,113.1509258,1.792558486,113.1509258,113.1509257,,21938190.48,,0.005381172,0.004932741,12.5,0.0616592625,0.0061524775,0.9166666667,,0.0061524775,22,12.63639772
0.004524439,0.005318822,0.00153669,0.001806537,40.72229188,47.87323141,0.900026892,3.16E-05,40722.29188,47873.23141,0.02345604,0.027574981,23,117.5576022,117.5602757,117.560258,3.51E-03,117.560258,117.5602574,,40722.29188,,0.003116912,0.002987040667,8.333333333,0.02489200556,0.004249042,0.9583333333,,0.004249042,23,0.02345604
0.001335593,0.000565884,0.000453602,0.000192191,12.02045733,5.093057968,0.900007938,3.36E-06,12020.45733,5093.057968,0.006923783,0.002933601,24,42.3694943,42.3699631,42.36991845,3.74E-04,42.36991845,42.36991541,,12020.45733,,0.0026958,0.0026958,4.166666667,0.0112325,0.002906356,1,,0.002906356,24,0.006923783
2.930007418,3.641199668,1.383079203,1.883601977,36651.58359,49915.42877,0.924556273,3.30E-02,36651583.59,49915428.77,21.07466019,28.75128697,,124.2727116,136.1890174,136.1890098,3.57E+00,136.1890098,136.4258627,,,,3.806413138,65.52896672,,5097.133048,,12.5,,379.234159,,64.84149439
,,,,,,,,,,,,,,,,,,,,6608356.142,,3.806413138,5.242317338,,,,,,,,3.814205552
2.930007418,3.641199668,1.383079203,1.883601977,36651.58359,49915.42877,0.9245562729,3.30E-02,36651583.59,49915428.77,21.11131232,28.75128697,,124.2727116,,,,,97.34499493,,36651583.59,,21.11131232,2.730373613,,36651583.59,,,,,,
,124.2727116,,136.1890175,,136.1890098,,3.57E+00,,136.1890098,,136.1890087,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,172.7482468,172.97322,172.9732201,4.24E+01,172.9732201,172.9732201,,,,,,,,,,,,,
,,,,,,,,,,,,,30.43323706,31.07354902,31.07354907,1.44E-04,31.07354907,,,,,,,,,,,,,,
