Catchment,Area (m²),Ice Discharge (kg/yr),Ice Yield (kg m⁻² yr⁻¹),Sediment Yield (kg m⁻² yr⁻¹),Total Flux (kg/yr),Gate Number,Gate Longitude,Gate Latitude
Gate 32.0,941010000.0,126596129678.5112,134.53218316331515,0.24581234124236312,231311871.23247612,32.0,-533384.3945720242,-1222414.4622092976
Gate 201.0,443900000.0,212571863872.3211,478.87331352178666,0.5208623635880175,231210803.196721,201.0,516152.5313152433,-2369831.250000018
Gate 299.0,3930940000.0,46216686954.1895,11.757159090240375,0.058149428300854955,228581913.68496278,299.0,88496.7379958254,-3001060.537790774
Gate 336.0,362170000.0,237797060704.4415,656.5896145579189,0.6277609410540108,227356180.0215311,336.0,59492.95407098203,-3192129.941860575
Gate 203.0,784960000.0,138888480460.6356,176.93701648572613,0.28905545288405415,226896968.29586715,203.0,487548.7995824655,-2384836.700581404
Gate 181.0,996970000.0,114717820186.54959,115.0664715954839,0.2241083106850496,223429262.5036739,181.0,654770.6158663937,-2267193.968023268
Gate 271.0,344290000.0,224598734075.5216,652.3533476880583,0.6253622658025385,215305974.493156,271.0,169507.30688935597,-2844203.5610465566
Gate 43.0,1544880000.0,78938362113.1352,51.096759692102424,0.1386567243185063,214208000.26517403,43.0,-561188.0219206677,-1348660.3197674397
Gate 35.0,109530000.0,475807713018.8901,4344.085757499224,1.919271261594772,210217781.28247538,35.0,-481777.66179540637,-1241821.5116279046
Gate 237.0,208900000.0,282500397937.33,1352.323589934562,0.962457818349533,201057438.25321746,237.0,231115.34446764115,-2711555.377907007
Gate 351.0,373130000.0,185458164341.096,497.03364602443116,0.532456055730038,198675328.07454905,351.0,44290.9707724447,-3244348.9098838517
Gate 124.0,1196600000.0,74798565042.6515,62.50924706890482,0.1562148988115953,186926747.91795495,124.0,541155.7933194133,-1757808.938953487
Gate 278.0,197330000.0,233620464988.7974,1183.907489934614,0.8896479304452714,175554226.1147654,278.0,202711.6388309018,-2855807.7761628414
Gate 45.0,225790000.0,197584911222.6816,875.0826485791293,0.7440121114939464,167990494.65421817,45.0,-549786.5344467635,-1378671.2209302315
Gate 116.0,127110000.0,273102715039.97928,2148.5541266617834,1.265612985872942,160872066.63430965,116.0,-327757.56784968707,-1691985.029069765
Gate 329.0,3530000.0,3121279142388.223,884215.054500913,44.5226161648195,157164835.06181285,329.0,-42320.32881002486,-3166120.494186159
Gate 283.0,136220000.0,247762292306.2826,1818.8393209975231,1.1468556014476303,156224670.0291962,283.0,211112.73486430416,-2871813.590116335
Gate 316.0,66820000.0,400595139824.94086,5995.13827933165,2.3220948135550064,155162375.44174552,316.0,113700.02609603907,-3110300.218023353
Gate 31.0,429210000.0,106244065252.0928,247.53399327157524,0.35255213334677094,151318901.15376756,31.0,-575189.8486430065,-1180599.2732558125
Gate 3.0,211370000.0,164964557502.03882,780.453978814585,0.695319096731028,146969597.47603738,3.0,182509.00313152617,-870886.7732558275
Gate 346.0,327590000.0,120077671133.3618,366.5486465806704,0.44469551621153425,145677804.1557365,346.0,63293.4498956206,-3235945.857558262
Gate 133.0,486410000.0,90113947873.1103,185.26335369978065,0.2970248615396415,144475862.90149704,133.0,-297353.6012526097,-1857445.1308139584
Gate 156.0,478310000.0,91018996516.32451,190.29289899087308,0.30176795076094315,144338628.52846673,156.0,637968.423799583,-2095931.758720938
Gate 209.0,91540000.0,269900114268.46323,2948.43908967078,1.5261335556557727,139702265.68472943,209.0,472146.7901878964,-2475269.5494186236
Gate 177.0,16020000.0,895143585920.6577,55876.62833462283,8.694502131538494,139285924.14724666,177.0,679173.799582467,-2236982.994186059
Gate 340.0,130660000.0,209756323975.3338,1605.3598957242752,1.0652203942861673,139181696.71743062,340.0,74094.85908142348,-3201533.357558261
Gate 34.0,393410000.0,96620311540.1156,245.5969892481523,0.3509178424607167,138054588.40247056,34.0,-497579.7233820456,-1235819.331395345
Gate 6.0,17360000.0,807201995982.3495,46497.81082847635,7.799177489301286,135393721.21427032,6.0,200311.32567850006,-889693.6046511789
Gate 313.0,369110000.0,95301977363.6947,258.1939729719994,0.3614543362236768,133416410.04352134,313.0,129502.08768267672,-3103697.8197675347
Gate 1.0,346560000.0,90214678375.31529,260.3147460044878,0.36320736529926134,125873144.518112,1.0,685.2818371608269,-811665.2616279146
Gate 146.0,20480000.0,630674136625.0453,30794.63557739479,6.112310181910147,125180112.52551982,146.0,605964.2484342401,-2035709.8837209377
Gate 221.0,214490000.0,118515485092.2277,552.5455037168525,0.5668651168218408,121586898.90711664,221.0,456744.7807933215,-2540693.3139535054
Gate 344.0,154250000.0,147247432560.5574,954.6024801332733,0.7832870227237622,120822023.25514032,344.0,73694.80688935753,-3225542.078488497
Gate 47.0,204650000.0,119195528697.1691,582.436006338476,0.584806356403276,119680620.83793044,47.0,-533584.4206680609,-1387274.3459302369
Gate 27.0,75800000.0,234117940686.698,3088.627185840343,1.5686423980992665,118903093.7759244,27.0,-388765.527139904,-1082563.6627907804
Gate 349.0,327590000.0,76063762051.6006,232.19195351384536,0.339459893657337,111203666.56320702,349.0,64693.63256785019,-3243548.6191861755
Gate 253.0,65870000.0,227773502333.8321,3457.924735597876,1.677004919874705,110464314.07214682,253.0,198111.0386221333,-2773978.052325616
Gate 193.0,59890000.0,240968548171.8248,4023.51892088537,1.8341961721676443,109850008.75112022,193.0,552957.3329853874,-2309609.3750000047
Gate 158.0,88730000.0,173632639386.3536,1956.865089443859,1.1975589385330574,106259404.61603819,158.0,-202341.20563674186,-2114538.517441861
Gate 190.0,1323630000.0,26778920154.573097,20.23142430631906,0.08016101087997748,106103518.8310646,190.0,493549.58246346726,-2302806.9040697743
Gate 109.0,162080000.0,111846392463.7141,690.0690551808619,0.64650015552,104784745.2066816,109.0,-322156.8371607514,-1635364.4622093062
Gate 265.0,124240000.0,115322732873.49811,928.225473869109,0.7704129898149953,95716109.85461502,265.0,183509.13361169258,-2813792.514534927
Gate 57.0,143860000.0,103536492135.21431,719.7031289810532,0.6627792582316815,95347424.0892097,57.0,-444172.75574112596,-1416885.101744181
Gate 279.0,102560000.0,113437239293.11319,1106.0573254008696,0.8545683812076897,87644533.17666066,279.0,202911.66492693266,-2866211.5552326073
Gate 275.0,344290000.0,49087393748.0882,142.5757174129025,0.2544014299189275,87587868.30678755,275.0,176908.27244259036,-2846204.2877907488
