Prøve nr.,Vægt is,pose,vand,,vægt sed,vol sed,RSC,,,vol vand,vol is,vol isbj,vsed/visb,mg/l isbj,,dens isbj,,t/km3
10B,806,22.07,783.93,,1.792,0.67622641509434,0.00222332506203474,,,783.253773584906,870.281970649895,870.95819706499,0.000776416614911175,2057.50402951461,,0.901358729076095,,2057504.02951461
10C,714,34.03,679.97,,7.2161,2.72305660377358,0.0101065826330532,,,677.246943396226,752.496603773585,755.219660377359,0.00360564845784465,9554.96841328833,,0.906309884801228,,9554968.41328833
11A,591,18.35,572.65,,2.1556,0.813433962264151,0.00364737732656514,,,571.836566037736,635.373962264151,636.187396226415,0.00127860747806242,3388.3098168654,,0.902237563086609,,3388309.8168654
11B,496,42.51,453.49,,0.3784,0.142792452830189,0.000762903225806452,,,453.34720754717,503.719119496855,503.861911949686,0.000283396004825321,750.999412787101,,0.900495943008444,,750999.412787101
11C,734,28.24,705.76,,0.7294,0.275245283018868,0.000993732970027248,,,705.484754716981,783.871949685535,784.147194968553,0.000351012265024944,930.1825023161,,0.900614271463794,,930182.5023161
12A,745,29.03,715.97,,0.0161,0.00607547169811321,2.16107382550336E-05,,,715.963924528302,795.515471698113,795.521547169811,7.63709257119134E-06,20.2382953136571,,0.900013364912,,20238.295313657
12B,553,27.56,525.44,,0.686,0.258867924528302,0.00124050632911392,,,525.181132075472,583.534591194969,583.793459119497,0.000443423817935093,1175.073117528,,0.900775991681386,,1175073.117528
12C,775,28.94,746.06,,0.1342,0.0506415094339623,0.000173161290322581,,,746.009358490566,828.89928721174,828.949928721174,6.10911560268631E-05,161.891563471187,,0.900106909523047,,161891.563471187
13A,951,23.99,927.01,,1.9438,0.733509433962264,0.00204395373291272,,,926.276490566038,1029.19610062893,1029.92961006289,0.00071219375265604,1887.31344453851,,0.901246339067148,,1887313.44453851
13B,858,19.31,838.69,,1.2415,0.468490566037736,0.0014469696969697,,,838.221509433962,931.357232704403,931.82572327044,0.000502766294531416,1332.33068050825,,0.90087984101543,,1332330.68050825
13C,469,17.35,451.65,,0.0018,0.000679245283018868,3.83795309168443E-06,,,451.649320754717,501.832578616352,501.833257861635,1.35352783494901E-06,3.58684876261488,,0.900002368673711,,3586.84876261488
14A,754,22.4,731.6,,0.0027,0.0010188679245283,3.58090185676393E-06,,,731.598981132076,812.887756813417,812.888775681342,1.2533915524597E-06,3.32148761401821,,0.900002193435217,,3321.48761401821
14B,947,25.87,921.13,,0.0071,0.00267924528301887,7.4973600844773E-06,,,921.127320754717,1023.47480083857,1023.47748008386,2.61778625827639E-06,6.93713358443243,,0.900004581125952,,6937.13358443243
14C,712,21.88,690.12,,0.0029,0.00109433962264151,4.07303370786517E-06,,,690.118905660377,766.798784067086,766.799878406709,1.42715153387267E-06,3.78195156476257,,0.900002497515184,,3781.95156476257
15A,623,25.16,597.84,,4.8604,1.83411320754717,0.0078016051364366,,,596.005886792453,662.228763102725,664.062876310273,0.00276195714739851,7319.18644060605,,0.904833425007947,,7319186.44060605
15B,690,27.42,662.58,,16.2014,6.1137358490566,0.0234802898550725,,,656.466264150943,729.406960167715,735.520696016772,0.00831211940352688,22027.1164193462,,0.914546208956172,,22027116.4193462
15C,480,16.97,463.03,,15.6127,5.89158490566038,0.0325264583333333,,,457.13841509434,507.931572327044,513.823157232704,0.0114661724033433,30385.3568688598,,0.920065801705851,,30385356.8688598
16A,797,19.75,777.25,,6.0289,2.27505660377358,0.00756449184441656,,,774.974943396226,861.083270440252,863.358327044025,0.00263512441185683,6983.07969142061,,0.90461146772075,,6983079.6914206
16B,741,16.91,724.09,,0.9479,0.357698113207547,0.00127921727395412,,,723.732301886793,804.147002096436,804.504700209644,0.00044461904711599,1178.24047485737,,0.900778083332453,,1178240.47485737
16C,673,29.54,643.46,,3.2589,1.22977358490566,0.00484234769687964,,,642.230226415094,713.589140461216,714.818914046122,0.00172039877616656,4559.0567568414,,0.903010697858292,,4559056.7568414
17A,739,36.18,702.82,,1.8281,0.689849056603774,0.00247374830852503,,,702.130150943396,780.144612159329,780.834461215933,0.000883476704562354,2341.21326709024,,0.901546084232984,,2341213.26709024
17B,669,19.71,649.29,,8.5257,3.21724528301887,0.0127439461883408,,,646.072754716981,717.858616352201,721.07586163522,0.00446172927730927,11823.5825848696,,0.907808026235291,,11823582.5848696
17C,633,32.83,600.17,,0.7282,0.274792452830189,0.00115039494470774,,,599.89520754717,666.550230607967,666.825023060797,0.000412090793427131,1092.0406025819,,0.900721158888497,,1092040.6025819
18A,676,16.31,659.69,,0.2946,0.111169811320755,0.000435798816568047,,,659.578830188679,732.86536687631,732.976536687631,0.000151668990419718,401.922824612254,,0.900265420733234,,401922.824612254
18B,654,26.83,627.17,,0.3491,0.131735849056604,0.000533792048929664,,,627.038264150943,696.709182389937,696.840918238994,0.000189047235328139,500.975173619569,,0.900330832661824,,500975.173619569
18C,781,24.17,756.83,,0.0225,0.00849056603773585,2.8809218950064E-05,,,756.821509433962,840.912788259958,840.921278825996,1.00967430026143E-05,26.7563689569279,,0.900017669300255,,26756.3689569279
19A,480.84,44.08,436.76,,11.002,4.15169811320755,0.0228807919474253,,,432.608301886793,480.675890985325,484.827589098533,0.0085632464128682,22692.6029941007,,0.914985681222519,,22692602.9941007
19B,1067.3,27.63,1039.67,,42.987,16.2215094339623,0.0402763983884569,,,1023.44849056604,1137.16498951782,1153.38649895178,0.0140642442483111,37270.2472580244,,0.924612427434544,,37270247.2580244
19C,753,34.87,718.13,,34.2165,12.9118867924528,0.0454402390438247,,,705.218113207547,783.575681341719,796.487568134172,0.0162110336796591,42959.2392510966,,0.928369308939404,,42959239.2510966
20A,593.78,16.36,577.42,,1.0061,0.379660377358491,0.00169439859880764,,,577.040339622641,641.155932914046,641.535593291405,0.000591799397147459,1568.26840244077,,0.901035648945008,,1568268.40244077
20B,660.7,30.49,630.21,,13.0208,4.91350943396226,0.0197075828666566,,,625.296490566038,694.773878406709,699.687387840671,0.00702243533233608,18609.4536306906,,0.912289261831588,,18609453.6306906
20C,594.02,69.45,524.57,,2.2487,0.848566037735849,0.00378556277566412,,,523.721433962264,581.912704402516,582.761270440251,0.00145611261553945,3858.69843117955,,0.902548197077194,,3858698.43117955
21A,874.3,31.01,843.29,,6.2899,2.37354716981132,0.00719421251286744,,,840.916452830189,934.351614255765,936.725161425576,0.00253387788388121,6714.7763922852,,0.904434286296792,,6714776.3922852
21B,939.4,41.1,898.3,,131.2524,49.5292075471698,0.13971939535874,,,848.77079245283,943.078658280922,992.607865828092,0.0498980607068327,132229.860873107,,0.987321606236957,,132229860.873107
21C,693.6,31.4,662.2,,3.1542,1.1902641509434,0.00454757785467128,,,661.009735849057,734.455262054507,735.645526205451,0.00161798598447669,4287.66285886322,,0.902831475472834,,4287662.85886322
22A,643,18.95,624.05,,33.5013,12.642,0.0521015552099533,,,611.408,679.342222222222,691.984222222222,0.0182692026696819,48413.3870746571,,0.931971104671943,,48413387.0746571
22B,656,17.22,638.78,,2.2642,0.854415094339623,0.0034515243902439,,,637.92558490566,708.806205450734,709.660620545073,0.00120397704142491,3190.53915977601,,0.902106959822494,,3190539.15977601
22C,716,18.06,697.94,,9.6252,3.63215094339623,0.0134430167597765,,,694.307849056604,771.453165618449,775.085316561845,0.0046861305017464,12418.245829628,,0.908200728378056,,12418245.829628
23A,773.5,65.59,707.91,,0.0755,0.0284905660377358,9.76082740788623E-05,,,707.881509433962,786.53501048218,786.563501048218,3.62215714303648E-05,95.9871642904667,,0.900063387750003,,95987.1642904667
23B,709.9,49.87,660.03,,0.009,0.00339622641509434,1.26778419495704E-05,,,660.026603773585,733.362893081761,733.366289308176,4.631009721347E-06,12.2721757615696,,0.900008104267012,,12272.1757615696
23C,445,17.69,427.31,,0.0066,0.00249056603773585,1.48314606741573E-05,,,427.307509433962,474.786121593291,474.788612159329,5.24563136931361E-06,13.9009231286811,,0.900009179854896,,13900.9231286811
24A,637,40.21,596.79,,0.0064,0.00241509433962264,1.00470957613815E-05,,,596.78758490566,663.097316561845,663.099731656184,3.64212836218559E-06,9.65164015979181,,0.900006373724634,,9651.64015979181
24B,502,17.4,484.6,,0.0046,0.00173584905660377,9.16334661354582E-06,,,484.598264150943,538.44251572327,538.444251572327,3.22382317488741E-06,8.54313141345163,,0.900005641690556,,8543.13141345163
24C,742,16.61,725.39,,0.0144,0.00543396226415094,1.94070080862534E-05,,,725.384566037736,805.98285115304,805.988285115304,6.74198665725466E-06,17.8662646417248,,0.90001179847665,,17866.2646417248
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.010076710715627,26703.2833964116,,,,
,,,,,,,,,,,,,0.0327536178398376,86797.0872755696,,,,
