"Eqi Sermia"  "Fieldwork 2022"       
"Ethan Pierce and Irina Overeem"         
6-Aug-22         
         
"Sample No" GRL "Field weight" "Lab weight" "Transport loss %" "Tape weight" "Empty weight" "Sediment weight" "SSC weight %" "Bottle weight (if too large to FD)"
         
EQ22_8.2 27889 568.9 566.34 0.449991211109148 3.43 95.52 34.02 0.06738768718802 
EQ22_6.1 27890 538.9 536.56 0.434217851178332 3.43 66.08 4.58 0.00964088746684629 
EQ22_2.3 27891 305.9 304.17 0.5655442955214 2.97 72.18 11.14 0.0458191091185786 
EQ22_2.1 27892 347.5 345.63 0.538129496402879 2.72 124.75 63.96 0.224547114169358 
EQ22_3.1 27893 298.7 297.01 0.565785068630732 3.2 68.72 7.45 0.0316026130482735 
EQ22_1.2 27894 351.4 349.84 0.443938531587935 3.37 116.82 55.38 0.192024965325936 
EQ22_1.3 27895 272.7 271.41 0.47304730473046 2.7 61.07 0.3 0.00142423091530573 
EQ22_1.1 27896 249.3 244.82 1.79703168872845 2.6 64.39 3.72 0.020200923160467 
EQ22_3.3 27897 322.7 321.72 0.303687635574825 2.85 62.43 1.51 0.00578987730061349 
EQ22_7.2 27898 537.2 535.1 0.390915860014896 3.67 113.08 34.91 0.0737493662328883 
EQ22_3.2 27899 332.7 331.82 0.264502554854222 2.63 67 6.3 0.0232369430510475 
EQ22_9.3 27900 391.9 389.25 0.676192906353656 3.31 87.98 26.6 0.0811297160459939 
